domain_accession,domain_name,domain_type,protein_start,protein_end,genomic_start,genomic_end,number_of_ta_sites,es_sites,gd_sites,ne_sites,ga_sites,mean_read_count,median_read_count,essential_fraction,es_or_gd_fraction,orf_id,gene_name,product,strand,protein_id,uniprot_accession
IPR020045,"DNA polymerase I-like, H3TH domain",domain,186,279,1831227,1831508,5,5,0,0,0,0.0,0.0,1.0,1.0,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR020046,"5'-3' exonuclease, alpha-helical arch, N-terminal",domain,16,184,1830717,1831223,8,8,0,0,0,2.1,0.0,1.0,1.0,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR029060,PIN-like domain superfamily,homologous_superfamily,11,184,1830702,1831223,8,8,0,0,0,2.1,0.0,1.0,1.0,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR036279,"5'-3' exonuclease, C-terminal domain superfamily",homologous_superfamily,185,298,1831224,1831565,5,5,0,0,0,0.0,0.0,1.0,1.0,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR036397,Ribonuclease H superfamily,homologous_superfamily,342,516,1831695,1832219,12,0,9,3,0,78.38333333333333,5.2,0.0,0.75,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR043502,DNA/RNA polymerase superfamily,homologous_superfamily,501,901,1832172,1833374,15,0,14,1,0,78.97333333333333,6.9,0.0,0.9333333333333333,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR054690,"DNA polymerase I, 3'-5' exonuclease domain",domain,356,443,1831737,1832000,7,0,6,1,0,31.314285714285717,0.0,0.0,0.8571428571428571,Rv1629,polA,DNA polymerase I,+,WP_003408063.1,P9WNU5
IPR003615,HNH nuclease,domain,352,407,1927362,1927529,3,0,0,3,0,589.9333333333333,427.5,0.0,0.0,Rv1702c,,HNH endonuclease signature motif containing protein,-,WP_003898977.1,P9WLT3
IPR003870,Domain of unknown function DUF222,domain,38,361,1927500,1928471,18,0,0,18,0,1483.4222222222222,932.75,0.0,0.0,Rv1702c,,HNH endonuclease signature motif containing protein,-,WP_003898977.1,P9WLT3
IPR001173,Glycosyltransferase 2-like,domain,614,780,2308424,2308924,10,10,0,0,0,0.0,0.0,1.0,1.0,Rv2051c,lnt,apolipoprotein N-acyltransferase,-,WP_003902238.1,O53493
IPR003010,Carbon-nitrogen hydrolase,domain,241,497,2309273,2310043,10,0,0,10,0,2046.23,1717.6,0.0,0.0,Rv2051c,lnt,apolipoprotein N-acyltransferase,-,WP_003902238.1,O53493
IPR004563,Apolipoprotein N-acyltransferase,family,20,529,2309177,2310706,18,0,0,18,0,2074.511111111111,1717.6,0.0,0.0,Rv2051c,lnt,apolipoprotein N-acyltransferase,-,WP_003902238.1,O53493
IPR029044,Nucleotide-diphospho-sugar transferases,homologous_superfamily,586,855,2308199,2309008,15,15,0,0,0,0.0,0.0,1.0,1.0,Rv2051c,lnt,apolipoprotein N-acyltransferase,-,WP_003902238.1,O53493
IPR036526,Carbon-nitrogen hydrolase superfamily,homologous_superfamily,232,509,2309237,2310070,11,0,0,11,0,1860.209090909091,1716.9,0.0,0.0,Rv2051c,lnt,apolipoprotein N-acyltransferase,-,WP_003902238.1,O53493
IPR039528,DPM1-like,family,614,839,2308247,2308924,13,13,0,0,0,0.0,0.0,1.0,1.0,Rv2051c,lnt,apolipoprotein N-acyltransferase,-,WP_003902238.1,O53493
IPR045378,"Apolipoprotein N-acyltransferase, N-terminal",domain,31,182,2310218,2310673,6,0,0,6,0,1860.3666666666668,1480.35,0.0,0.0,Rv2051c,lnt,apolipoprotein N-acyltransferase,-,WP_003902238.1,O53493
IPR001182,Probable peptidoglycan glycosyltransferase FtsW/RodA,family,58,416,2413683,2414759,13,13,0,0,0,0.0,0.0,1.0,1.0,Rv2154c,ftsW,putative lipid II flippase FtsW,-,WP_003411165.1,P9WN97
IPR013437,Probable peptidoglycan glycosyltransferase FtsW,family,59,411,2413698,2414756,13,13,0,0,0,0.0,0.0,1.0,1.0,Rv2154c,ftsW,putative lipid II flippase FtsW,-,WP_003411165.1,P9WN97
IPR018365,"Cell cycle, FtsW / RodA / SpoVE, conserved site",conserved_site,370,394,2413749,2413823,1,1,0,0,0,0.0,0.0,1.0,1.0,Rv2154c,ftsW,putative lipid II flippase FtsW,-,WP_003411165.1,P9WN97
IPR001460,"Penicillin-binding protein, transpeptidase",domain,339,654,2425134,2426081,20,20,0,0,0,0.765,0.0,1.0,1.0,Rv2163c,pbpB,D%2CD-transpeptidase PbpB,-,WP_003411214.1,L0T911
IPR005311,"Penicillin-binding protein, dimerisation domain",domain,131,312,2426160,2426705,6,4,2,0,0,1.2833333333333334,0.0,0.6666666666666666,1.0,Rv2163c,pbpB,D%2CD-transpeptidase PbpB,-,WP_003411214.1,L0T911
IPR012338,Beta-lactamase/transpeptidase-like,homologous_superfamily,313,666,2425098,2426159,22,22,0,0,0,0.6954545454545454,0.0,1.0,1.0,Rv2163c,pbpB,D%2CD-transpeptidase PbpB,-,WP_003411214.1,L0T911
IPR036138,"Penicillin-binding protein, dimerisation domain superfamily",homologous_superfamily,130,312,2426160,2426708,6,4,2,0,0,1.2833333333333334,0.0,0.6666666666666666,1.0,Rv2163c,pbpB,D%2CD-transpeptidase PbpB,-,WP_003411214.1,L0T911
IPR050515,Class D beta-lactamase/transpeptidase,family,82,667,2425095,2426852,29,26,3,0,0,0.7931034482758621,0.0,0.896551724137931,1.0,Rv2163c,pbpB,D%2CD-transpeptidase PbpB,-,WP_003411214.1,L0T911
IPR003717,"Recombination protein O, RecO",family,1,247,2643528,2644268,9,0,0,9,0,421.65555555555557,445.7,0.0,0.0,Rv2362c,recO,DNA repair protein RecO,-,WP_003412222.1,P9WHI5
IPR012340,"Nucleic acid-binding, OB-fold",homologous_superfamily,1,82,2644023,2644268,2,0,0,2,0,164.45,164.45,0.0,0.0,Rv2362c,recO,DNA repair protein RecO,-,WP_003412222.1,P9WHI5
IPR022572,"DNA replication/recombination mediator RecO, N-terminal",domain,1,79,2644032,2644268,2,0,0,2,0,164.45,164.45,0.0,0.0,Rv2362c,recO,DNA repair protein RecO,-,WP_003412222.1,P9WHI5
IPR037278,"ARFGAP/RecO-like, zinc finger superfamily",homologous_superfamily,82,232,2643573,2644025,6,0,0,6,0,482.5333333333333,549.5,0.0,0.0,Rv2362c,recO,DNA repair protein RecO,-,WP_003412222.1,P9WHI5
IPR042242,"Recombination protein O, C-terminal",homologous_superfamily,87,252,2643513,2644010,7,0,0,7,0,495.14285714285717,570.8,0.0,0.0,Rv2362c,recO,DNA repair protein RecO,-,WP_003412222.1,P9WHI5
IPR003029,S1 domain,domain,374,453,2743636,2743875,5,5,0,0,0,1.6800000000000002,0.0,1.0,1.0,Rv2444c,rne,Rne/Rng family ribonuclease,-,WP_003899322.1,P71905
IPR004659,Ribonuclease E/G,family,349,804,2742583,2743950,17,16,0,1,0,107.28823529411764,0.0,0.9411764705882353,0.9411764705882353,Rv2444c,rne,Rne/Rng family ribonuclease,-,WP_003899322.1,P71905
IPR012340,"Nucleic acid-binding, OB-fold",homologous_superfamily,368,459,2743618,2743893,5,5,0,0,0,1.6800000000000002,0.0,1.0,1.0,Rv2444c,rne,Rne/Rng family ribonuclease,-,WP_003899322.1,P71905
IPR019307,RNA-binding protein AU-1/Ribonuclease E/G,domain,455,736,2742787,2743632,9,9,0,0,0,0.9333333333333333,0.0,1.0,1.0,Rv2444c,rne,Rne/Rng family ribonuclease,-,WP_003899322.1,P71905
IPR064450,"Ribonuclease E, mycobacterium",family,4,950,2742145,2744985,29,17,11,1,0,65.90689655172413,0.0,0.5862068965517241,0.9655172413793104,Rv2444c,rne,Rne/Rng family ribonuclease,-,WP_003899322.1,P71905
IPR001279,Metallo-beta-lactamase,domain,9,203,2906165,2906749,7,3,4,0,0,51.685714285714276,7.2,0.42857142857142855,1.0,Rv2581c,,MBL fold metallo-hydrolase,-,WP_003413366.1,P9WMW3
IPR036866,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like,homologous_superfamily,1,221,2906111,2906773,7,3,4,0,0,51.685714285714276,7.2,0.42857142857142855,1.0,Rv2581c,,MBL fold metallo-hydrolase,-,WP_003413366.1,P9WMW3
IPR051453,Metallo-Beta-Lactamase Glyoxalase II,family,3,220,2906114,2906767,7,3,4,0,0,51.685714285714276,7.2,0.42857142857142855,1.0,Rv2581c,,MBL fold metallo-hydrolase,-,WP_003413366.1,P9WMW3
IPR005665,"Protein-export membrane protein SecF, bacterial",family,58,356,2912954,2913850,14,12,0,2,0,4.892857142857143,1.85,0.8571428571428571,0.8571428571428571,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR022645,"Protein-export membrane protein SecD/SecF, bacterial",family,85,100,2913722,2913769,1,1,0,0,0,3.3,3.3,1.0,1.0,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR022645,"Protein-export membrane protein SecD/SecF, bacterial",family,205,219,2913365,2913409,5,5,0,0,0,4.0,3.1,1.0,1.0,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR022645,"Protein-export membrane protein SecD/SecF, bacterial",family,253,271,2913209,2913265,1,1,0,0,0,0.0,0.0,1.0,1.0,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR022646,"Protein-export membrane protein SecD/SecF/SecDF, conserved site",conserved_site,81,99,2913725,2913781,1,1,0,0,0,3.3,3.3,1.0,1.0,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR022813,"Protein-export membrane protein SecD/SecF, archaeal and bacterial",family,36,356,2912954,2913916,16,13,0,2,1,230.89375,1.85,0.8125,0.8125,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR048634,"Protein export membrane protein SecD/SecF, C-terminal",domain,168,354,2912960,2913520,9,7,0,2,0,6.944444444444445,3.1,0.7777777777777778,0.7777777777777778,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR055344,"Protein-export membrane protein SecD/SecF, C-terminal, bacterial",domain,172,342,2912996,2913508,8,7,0,1,0,4.425,2.55,0.875,0.875,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR000086,NUDIX hydrolase domain,domain,176,323,2936907,2937350,7,0,0,7,0,1696.0714285714287,1800.2,0.0,0.0,Rv2609c,,NUDIX hydrolase,-,WP_003413475.1,I6YDV4
IPR015797,NUDIX hydrolase-like domain superfamily,homologous_superfamily,174,310,2936946,2937356,5,0,0,5,0,1886.8400000000001,1800.2,0.0,0.0,Rv2609c,,NUDIX hydrolase,-,WP_003413475.1,I6YDV4
IPR000212,UvrD-like helicase,family,11,608,3569385,3571178,30,29,0,1,0,67.42999999999999,0.0,0.9666666666666667,0.9666666666666667,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR002121,HRDC domain,domain,626,700,3569109,3569333,4,0,0,4,0,4473.15,4571.35,0.0,0.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR010997,HRDC-like superfamily,homologous_superfamily,620,698,3569115,3569351,4,0,0,4,0,4473.15,4571.35,0.0,0.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR013986,DExx box DNA helicase domain superfamily,homologous_superfamily,118,204,3570597,3570857,4,4,0,0,0,1.05,1.0,1.0,1.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR014016,"UvrD-like helicase, ATP-binding domain",domain,10,301,3570306,3571181,14,14,0,0,0,1.2214285714285715,0.0,1.0,1.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR014017,"UvrD-like helicase, C-terminal",domain,292,560,3569529,3570335,15,15,0,0,0,1.5466666666666669,0.0,1.0,1.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR027417,P-loop containing nucleoside triphosphate hydrolase,homologous_superfamily,4,588,3569445,3571199,29,29,0,0,0,1.389655172413793,0.0,1.0,1.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR044876,HRDC domain superfamily,homologous_superfamily,628,698,3569115,3569327,4,0,0,4,0,4473.15,4571.35,0.0,0.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR000185,Protein translocase subunit SecA,family,1,869,3617922,3620528,43,43,0,0,0,1.0674418604651164,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR001650,"Helicase, C-terminal domain-like",domain,419,620,3618669,3619274,7,7,0,0,0,1.2,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR011115,"SecA DEAD-like, N-terminal",domain,2,383,3619380,3620525,19,19,0,0,0,1.0052631578947369,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR011116,SecA Wing/Scaffold,domain,613,833,3618030,3618692,14,14,0,0,0,1.3142857142857145,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR011130,"SecA, preprotein cross-linking domain",domain,227,339,3619512,3619850,7,7,0,0,0,1.2,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR014001,"Helicase superfamily 1/2, ATP-binding domain",domain,88,246,3619791,3620267,10,10,0,0,0,1.9100000000000001,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR014018,SecA motor DEAD,domain,1,615,3618684,3620528,29,29,0,0,0,0.9482758620689655,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR027417,P-loop containing nucleoside triphosphate hydrolase,homologous_superfamily,4,396,3619341,3620519,20,20,0,0,0,0.9550000000000001,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR027417,P-loop containing nucleoside triphosphate hydrolase,homologous_superfamily,398,615,3618684,3619337,9,9,0,0,0,0.9333333333333333,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR036266,"SecA, Wing/Scaffold superfamily",homologous_superfamily,617,834,3618027,3618680,14,14,0,0,0,1.3142857142857145,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
