domain_accession,domain_name,domain_type,protein_start,protein_end,genomic_start,genomic_end,number_of_ta_sites,es_sites,gd_sites,ne_sites,ga_sites,mean_read_count,median_read_count,essential_fraction,es_or_gd_fraction,orf_id,gene_name,product,strand,protein_id,uniprot_accession
IPR048634,"Protein export membrane protein SecD/SecF, C-terminal",domain,168,354,2912960,2913520,9,7,0,2,0,6.944444444444445,3.1,0.7777777777777778,0.7777777777777778,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR055344,"Protein-export membrane protein SecD/SecF, C-terminal, bacterial",domain,172,342,2912996,2913508,8,7,0,1,0,4.425,2.55,0.875,0.875,Rv2586c,secF,protein translocase subunit SecF,-,WP_003899387.1,P9WGN9
IPR000086,NUDIX hydrolase domain,domain,176,323,2936907,2937350,7,0,0,7,0,1696.0714285714287,1800.2,0.0,0.0,Rv2609c,,NUDIX hydrolase,-,WP_003413475.1,I6YDV4
IPR002121,HRDC domain,domain,626,700,3569109,3569333,4,0,0,4,0,4473.15,4571.35,0.0,0.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR014016,"UvrD-like helicase, ATP-binding domain",domain,10,301,3570306,3571181,14,14,0,0,0,1.2214285714285715,0.0,1.0,1.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR014017,"UvrD-like helicase, C-terminal",domain,292,560,3569529,3570335,15,15,0,0,0,1.5466666666666669,0.0,1.0,1.0,Rv3198c,uvrD2,ATP-dependent DNA helicase UvrD2,-,WP_003416822.1,P9WMP9
IPR001650,"Helicase, C-terminal domain-like",domain,419,620,3618669,3619274,7,7,0,0,0,1.2,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR011115,"SecA DEAD-like, N-terminal",domain,2,383,3619380,3620525,19,19,0,0,0,1.0052631578947369,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR011116,SecA Wing/Scaffold,domain,613,833,3618030,3618692,14,14,0,0,0,1.3142857142857145,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR011130,"SecA, preprotein cross-linking domain",domain,227,339,3619512,3619850,7,7,0,0,0,1.2,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR014001,"Helicase superfamily 1/2, ATP-binding domain",domain,88,246,3619791,3620267,10,10,0,0,0,1.9100000000000001,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR014018,SecA motor DEAD,domain,1,615,3618684,3620528,29,29,0,0,0,0.9482758620689655,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR044722,"SecA, C-terminal helicase domain",domain,398,611,3618696,3619337,9,9,0,0,0,0.9333333333333333,0.0,1.0,1.0,Rv3240c,secA,preprotein translocase subunit SecA,-,WP_003901576.1,P9WGP5
IPR018931,Domain of unknown function DUF2520,domain,145,286,4045440,4045865,5,3,0,2,0,32.17999999999999,0.0,0.6,0.6,Rv3603c,,Rossmann-like and DUF2520 domain-containing protein,-,WP_003419533.1,O06279
IPR019665,"Putative oxidoreductase/dehydrogenase, Rossmann-like domain",domain,5,128,4045914,4046285,7,0,0,7,0,125.98571428571428,0.0,0.0,0.0,Rv3603c,,Rossmann-like and DUF2520 domain-containing protein,-,WP_003419533.1,O06279
IPR000489,Pterin-binding domain,domain,6,265,4049365,4050144,8,7,1,0,0,0.9875,0.0,0.875,1.0,Rv3608c,folP,dihydropteroate synthase,-,WP_003899596.1,P9WND1
IPR006390,Dihydropteroate synthase domain,domain,6,269,4049353,4050144,8,7,1,0,0,0.9875,0.0,0.875,1.0,Rv3608c,folP,dihydropteroate synthase,-,WP_003899596.1,P9WND1
IPR001048,Aspartate/glutamate/uridylate kinase,domain,3,231,4152969,4153655,7,7,0,0,0,1.6428571428571428,0.0,1.0,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR002912,ACT domain,domain,267,352,4152606,4152863,4,1,3,0,0,3.825,3.45,0.25,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR041740,Aspartokinase catalytic domain,domain,3,242,4152936,4153655,8,8,0,0,0,1.4375,0.0,1.0,1.0,Rv3709c,ask,aspartate kinase,-,WP_003419828.1,P9WPX3
IPR025565,Domain of unknown function DUF4328,domain,152,306,4315857,4316321,8,6,0,2,0,456.8,0.0,0.75,0.75,Rv3843c,,DUF4328 domain-containing protein,-,WP_003899726.1,P96235
IPR028055,"Membrane insertase YidC/Oxa/ALB, C-terminal",domain,38,277,4409416,4410135,17,16,0,1,0,2.3588235294117648,0.0,0.9411764705882353,0.9411764705882353,Rv3921c,yidC,membrane protein insertase YidC,-,WP_003899765.1,P9WIT5
IPR047196,"Membrane insertase YidC/ALB, C-terminal",domain,42,273,4409428,4410123,17,16,0,1,0,2.3588235294117648,0.0,0.9411764705882353,0.9411764705882353,Rv3921c,yidC,membrane protein insertase YidC,-,WP_003899765.1,P9WIT5
